1_seed.data   -1855.17759350778   -1219.08808420956
2_seed.data   -1899.60504904451   -1011.35182983207
3_seed.data   -1787.18561594799   -1012.60707138704
4_seed.data   -1584.0631740857   -1009.07835512597
5_seed.data   -1615.20612844051   -970.608072755372
6_seed.data   -1535.9428536628   -879.878621318133
7_seed.data   -1688.96408258071   -902.956052269843
8_seed.data   -1800.67681577727   -1208.61188968981
9_seed.data   -1794.27732562596   -1099.67803749074
10_seed.data   -1759.74115477644   -994.241603524114
11_seed.data   -1949.74511634179   -1226.47760614741
12_seed.data   -1589.8276275338   -979.173395399314
13_seed.data   -1755.61328454674   -1095.09148335862
14_seed.data   -1991.25953438158   -1360.87555410401
15_seed.data   -1562.91283007107   -993.420042102777
16_seed.data   -1825.97077069912   -1083.15938361447
17_seed.data   -1940.9773877859   -1262.14094540991
18_seed.data   -1959.02328030869   -1336.14008697842
19_seed.data   -1749.28229957185   -1191.72319149085
20_seed.data   -1953.11408601117   -1297.48346799359
21_seed.data   -1793.6519217562   -1032.67287663297
22_seed.data   -1916.13612517856   -1278.25743965299
23_seed.data   -1893.61584715454   -1245.74257599822
24_seed.data   -1945.31414729075   -1132.39306878389
25_seed.data   -1901.89629551486   -1201.41226556777
26_seed.data   -1463.69481682634   -830.265762291599
27_seed.data   -1093.28905199491   -633.034331014022
28_seed.data   -1827.88938448671   -1102.91708760917
29_seed.data   -1488.86174385896   -941.342687098777
30_seed.data   -1627.42347496847   -1043.24450051747
31_seed.data   -1714.34617223441   -1171.43118771811
32_seed.data   -1933.54617309845   -1262.21416337422
33_seed.data   -1402.63839155807   -753.273921850278
34_seed.data   -1808.06239817244   -1014.50952482958
35_seed.data   -1726.39635549247   -1022.25709915347
36_seed.data   -1727.51122385551   -1157.31090393809
37_seed.data   -1903.64162363623   -1281.26225006661
38_seed.data   -1532.24562548249   -784.147966573305
39_seed.data   -1931.67919007764   -1311.62636752389
40_seed.data   -1612.31726391471   -1038.28161525184
41_seed.data   -1792.94165950449   -1140.04218572592
42_seed.data   -1829.68978028577   -1051.24173821251
43_seed.data   -1629.47720378316   -963.382509625572
44_seed.data   -1465.96207685458   -912.816976997927
45_seed.data   -1991.69235718102   -1334.92154943341
