# File, tot_solid, second_cluster
 1_seed.data         530          20
 2_seed.data         584          55
 3_seed.data         655          56
 4_seed.data         631          72
 5_seed.data         547          41
 6_seed.data         564          71
 7_seed.data         556          25
 8_seed.data         683         129
 9_seed.data         557          30
 10_seed.data         480          36
 11_seed.data         683         101
 12_seed.data         627          71
 13_seed.data         600          77
 14_seed.data         559          31
 15_seed.data         552          23
 16_seed.data         578          43
 17_seed.data         554          53
 18_seed.data         544          51
 19_seed.data         599          38
 20_seed.data         549          39
 21_seed.data         675         108
 22_seed.data         528          10
 23_seed.data         626         110
 24_seed.data         585          54
 25_seed.data         541          24
 26_seed.data         562          34
 27_seed.data         532          37
 28_seed.data         575          59
 29_seed.data         574          20
 30_seed.data         507          18
 31_seed.data         504          46
 32_seed.data         529          27
 33_seed.data         587          93
 34_seed.data         556          31
 35_seed.data         626          57
 36_seed.data         553          63
 37_seed.data         545          23
 38_seed.data         499          47
 39_seed.data         432          10
 40_seed.data         495          23
 41_seed.data         571          17
 42_seed.data         481          22
 43_seed.data         570          21
 44_seed.data         709         145
 45_seed.data         530          20
 46_seed.data         504          18
 47_seed.data         591         106
 48_seed.data         579          36
 49_seed.data         716         102
 50_seed.data         536          31
 51_seed.data         504          28
 52_seed.data         661          53
 53_seed.data         502          33
 54_seed.data         626          60
 55_seed.data         457          16
 56_seed.data         559          50
 57_seed.data         526          15
 58_seed.data         560          35
 59_seed.data         505          14
 60_seed.data         561          42
 61_seed.data         536          31
 62_seed.data         521          69
 63_seed.data         526          29
 64_seed.data         604          42
 65_seed.data         513          24
 66_seed.data         587          47
 67_seed.data         565          30
 68_seed.data         516          26
 69_seed.data         505          30
 70_seed.data         597          30
 71_seed.data         596          42
 72_seed.data         535          28
 73_seed.data         599          72
 74_seed.data         628          24
 75_seed.data         534          45
 76_seed.data         559          62
 77_seed.data         582          76
 78_seed.data         486          16
 79_seed.data         460          18
 80_seed.data         498          23
 81_seed.data         661          83
 82_seed.data         482          18
 83_seed.data         635          59
 84_seed.data         526          31
 85_seed.data         599          47
 86_seed.data         582          57
 87_seed.data         514          20
 88_seed.data         518          50
 89_seed.data         579          29
 90_seed.data         609          33
 91_seed.data         546          43
 92_seed.data         540          59
 93_seed.data         446          13
 94_seed.data         657          91
 95_seed.data         613          50
 96_seed.data         485          27
 97_seed.data         505          61
 98_seed.data         563          31
 99_seed.data         589          31
 100_seed.data         509          37
 101_seed.data         493          26
 102_seed.data         522          36
 103_seed.data         521          34
 104_seed.data         522          28
 105_seed.data         562          39
 106_seed.data         633          86
 107_seed.data         561          50
 108_seed.data         570          25
 109_seed.data         551          17
 110_seed.data         636         126
 111_seed.data         535          15
 112_seed.data         510          35
 113_seed.data         612          62
 114_seed.data         557          27
 115_seed.data         575          32
 116_seed.data         479          22
 117_seed.data         526          26
 118_seed.data         584          23
 119_seed.data         490          13
 120_seed.data         504          35
 121_seed.data         552          78
 122_seed.data         581          82
 123_seed.data         560          22
 124_seed.data         544          35
 125_seed.data         692         123
 126_seed.data         485          18
 127_seed.data         557          26
 128_seed.data         572          27
 129_seed.data         490          29
 130_seed.data         563          29
 131_seed.data         647          73
 132_seed.data         493          20
 133_seed.data         504          21
 134_seed.data         600          79
 135_seed.data         524          25
 136_seed.data         507          36
 137_seed.data         536          89
 138_seed.data         533          22
 139_seed.data         515          17
 140_seed.data         539          20
 141_seed.data         457          17
 142_seed.data         636          60
 143_seed.data         552          32
 144_seed.data         559          77
 145_seed.data         546          52
 146_seed.data         484          40
 147_seed.data         473          16
 148_seed.data         587          49
 149_seed.data         507          20
 150_seed.data         600          51
 151_seed.data         538          23
 152_seed.data         587          20
 153_seed.data         544          33
 154_seed.data         653          42
 155_seed.data         439          11
 156_seed.data         660          73
 157_seed.data         558          77
 158_seed.data         727         247
 159_seed.data         484          34
 160_seed.data         541          17
 161_seed.data         499          27
 162_seed.data         596          47
 163_seed.data         646          92
 164_seed.data         448          33
 165_seed.data         551          46
 166_seed.data         496          17
 167_seed.data         615          12
 168_seed.data         622          31
 169_seed.data         494          25
 170_seed.data         575          31
 171_seed.data         503          20
 172_seed.data         538          18
 173_seed.data         602          37
 174_seed.data         516          22
 175_seed.data         611          34
 176_seed.data         513          29
 177_seed.data         553          39
 178_seed.data         479          32
 179_seed.data         502          18
 180_seed.data         533          23
 181_seed.data         497          24
 182_seed.data         548          24
 183_seed.data         546          27
 184_seed.data         562          52
 185_seed.data         507          48
 186_seed.data         670         156
 187_seed.data         585          73
 188_seed.data         549          21
 189_seed.data         593          40
 190_seed.data         517          42
 191_seed.data         506          27
 192_seed.data         478          50
 193_seed.data         535          36
 194_seed.data         522          51
 195_seed.data         564          23
 196_seed.data         644         101
 197_seed.data         517          27
 198_seed.data         546          34
 199_seed.data         551          41
 200_seed.data         496          30
 201_seed.data         601          89
 202_seed.data         588          43
 203_seed.data         532          20
 204_seed.data         556          56
 205_seed.data         657          42
 206_seed.data         498          47
 207_seed.data         560          31
 208_seed.data         551          28
 209_seed.data         542          28
 210_seed.data         634         211
 211_seed.data         547          28
 212_seed.data         502          26
 213_seed.data         530          56
 214_seed.data         606          17
 215_seed.data         515          37
 216_seed.data         483          21
 217_seed.data         471          25
 218_seed.data         479          11
 219_seed.data         551          60
 220_seed.data         619         110
 221_seed.data         546          36
 222_seed.data         571          48
 223_seed.data         640          88
 224_seed.data         653          46
 225_seed.data         577          94
 226_seed.data         573          63
 227_seed.data         485          25
 228_seed.data         490          54
 229_seed.data         501          28
 230_seed.data         510          25
 231_seed.data         547          70
 232_seed.data         557          62
 233_seed.data         561          46
 234_seed.data         619          82
 235_seed.data         523          50
 236_seed.data         647          58
 237_seed.data         562          32
 238_seed.data         504          17
 239_seed.data         543          55
 240_seed.data         502          36
 241_seed.data         575          39
 242_seed.data         527          24
 243_seed.data         586          42
 244_seed.data         459          15
 245_seed.data         535          11
 246_seed.data         592          25
 247_seed.data         518          25
 248_seed.data         499          36
 249_seed.data         598          42
 250_seed.data         535          23
 251_seed.data         486          29
 252_seed.data         503          30
 253_seed.data         553          29
 254_seed.data         535          31
 255_seed.data         643          64
 256_seed.data         560          51
 257_seed.data         601          38
 258_seed.data         595          72
 259_seed.data         616          49
 260_seed.data         567          35
 261_seed.data         585          37
 262_seed.data         502          25
 263_seed.data         520          31
 264_seed.data         595          46
 265_seed.data         492          24
 266_seed.data         575          36
 267_seed.data         617          46
 268_seed.data         576          52
 269_seed.data         650         107
 270_seed.data         580          51
 271_seed.data         584          22
 272_seed.data         550          27
 273_seed.data         499          21
 274_seed.data         485          22
 275_seed.data         582          31
 276_seed.data         508          16
 277_seed.data         677          43
 278_seed.data         529          23
 279_seed.data         593          42
 280_seed.data         439          15
 281_seed.data         519          26
 282_seed.data         522          28
 283_seed.data         517          31
 284_seed.data         676         196
 285_seed.data         508          41
 286_seed.data         522          43
 287_seed.data         592          50
 288_seed.data         478          16
 289_seed.data         601         105
 290_seed.data         560          41
 291_seed.data         554          28
 292_seed.data         706          94
 293_seed.data         508          34
 294_seed.data         558          25
 295_seed.data         603          30
 296_seed.data         604         108
 297_seed.data         460          22
 298_seed.data         484          11
 299_seed.data         506          33
 300_seed.data         562          26
 301_seed.data         490          23
 302_seed.data         637          60
 303_seed.data         592          33
 304_seed.data         524          52
 305_seed.data         502          23
 306_seed.data         545          37
 307_seed.data         546          24
 308_seed.data         639          87
 309_seed.data         620          97
 310_seed.data         550          29
 311_seed.data         558          40
 312_seed.data         580          34
 313_seed.data         585          40
 314_seed.data         501          25
 315_seed.data         607          31
 316_seed.data         543          18
 317_seed.data         535          58
 318_seed.data         537          20
 319_seed.data         703         170
 320_seed.data         549          38
 321_seed.data         515          20
 322_seed.data         549          34
 323_seed.data         500          66
 324_seed.data         486          26
 325_seed.data         557          48
 326_seed.data         513          20
 327_seed.data         498          20
 328_seed.data         537          19
 329_seed.data         517          53
 330_seed.data         578          32
 331_seed.data         682          70
 332_seed.data         622          78
 333_seed.data         546          24
 334_seed.data         617          29
 335_seed.data         577          29
 336_seed.data         463          36
 337_seed.data         539          26
 338_seed.data         551          37
 339_seed.data         526          55
 340_seed.data         533          70
 341_seed.data         492          21
 342_seed.data         609          27
 343_seed.data         714          89
 344_seed.data         565          58
 345_seed.data         541          39
 346_seed.data         606          49
 347_seed.data         582          49
 348_seed.data         550          43
 349_seed.data         561         109
 350_seed.data         571          58
 351_seed.data         568          15
 352_seed.data         630          34
 353_seed.data         499          53
 354_seed.data         599          35
 355_seed.data         631          52
 356_seed.data         547          31
 357_seed.data         535          16
 358_seed.data         415          17
 359_seed.data         471          57
 360_seed.data         521          45
 361_seed.data         450          82
 362_seed.data         522          38
 363_seed.data         581         120
 364_seed.data         499          34
 365_seed.data         483          27
 366_seed.data         371          18
 367_seed.data         578          31
 368_seed.data         463          23
 369_seed.data         464          21
 370_seed.data         556          69
 371_seed.data         503          39
 372_seed.data         560          51
 373_seed.data         524          33
 374_seed.data         646          51
 375_seed.data         506          32
 376_seed.data         551         125
 377_seed.data         467          23
 378_seed.data         616          57
 379_seed.data         548          13
 380_seed.data         505          36
 381_seed.data         525          35
 382_seed.data         547          23
 383_seed.data         534         135
 384_seed.data         561          39
 385_seed.data         519          48
 386_seed.data         606          71
 387_seed.data         480          43
 388_seed.data         530          56
 389_seed.data         479          28
 390_seed.data         449          32
 391_seed.data         497          26
 392_seed.data         545          27
 393_seed.data         509          13
 394_seed.data         553          37
 395_seed.data         595          75
 396_seed.data         466          24
 397_seed.data         581          37
 398_seed.data         596          58
 399_seed.data         552          51
 400_seed.data         535          26
 401_seed.data         495          46
 402_seed.data         626          91
 403_seed.data         490          13
 404_seed.data         433          19
 405_seed.data         504          27
 406_seed.data         448          27
 407_seed.data         442          18
 408_seed.data         456          22
 409_seed.data         682          82
 410_seed.data         579          28
 411_seed.data         457          27
 412_seed.data         363          37
 413_seed.data         466          17
 414_seed.data         570          35
 415_seed.data         434          18
 416_seed.data         537         134
 417_seed.data         486          33
 418_seed.data         513          35
 419_seed.data         529          17
 420_seed.data         535          81
 421_seed.data         572          87
 422_seed.data         489          49
 423_seed.data         498          33
 424_seed.data         486          19
 425_seed.data         551          34
 426_seed.data         505          57
 427_seed.data         480          33
 428_seed.data         539          19
 429_seed.data         482          74
 430_seed.data         619          71
 431_seed.data         626          30
 432_seed.data         464          57
 433_seed.data         648          43
 434_seed.data         460          13
 435_seed.data         477          16
 436_seed.data         541          19
 437_seed.data         548          41
 438_seed.data         435          15
 439_seed.data         586          32
 440_seed.data         458          31
 441_seed.data         538          70
 442_seed.data         515          25
 443_seed.data         441          60
 444_seed.data         622          52
 445_seed.data         469          27
 446_seed.data         488          25
 447_seed.data         522          61
 448_seed.data         552          23
 449_seed.data         445          31
 450_seed.data         624         120
 451_seed.data         470          33
 452_seed.data         504          41
 453_seed.data         561          31
 454_seed.data         646         141
 455_seed.data         481          32
 456_seed.data         463          41
 457_seed.data         551          24
 458_seed.data         546          27
 459_seed.data         429          15
 460_seed.data         583          65
 461_seed.data         582          31
 462_seed.data         550          25
 463_seed.data         544          34
 464_seed.data         501          17
 465_seed.data         620          46
 466_seed.data         458          18
 467_seed.data         434          59
 468_seed.data         468          27
 469_seed.data         550          48
 470_seed.data         458          49
 471_seed.data         459          32
 472_seed.data         484          56
 473_seed.data         543          46
 474_seed.data         584          37
 475_seed.data         450          16
 476_seed.data         542          29
 477_seed.data         500          12
 478_seed.data         475          27
 479_seed.data         421          27
 480_seed.data         481          38
 481_seed.data         539          16
 482_seed.data         444          45
 483_seed.data         569          62
 484_seed.data         426          16
 485_seed.data         598          37
 486_seed.data         442          43
 487_seed.data         384          27
 488_seed.data         586          43
 489_seed.data         577          95
 490_seed.data         514          83
 491_seed.data         528          67
 492_seed.data         463          26
 493_seed.data         464          25
 494_seed.data         611         160
 495_seed.data         526          38
 496_seed.data         525          77
 497_seed.data         494          27
 498_seed.data         492          59
 499_seed.data         455          35
 500_seed.data         555          66
 501_seed.data         484          18
 502_seed.data         481          39
 503_seed.data         487          31
 504_seed.data         523          23
 505_seed.data         444          18
 506_seed.data         514          51
 507_seed.data         456          22
 508_seed.data         524          15
 509_seed.data         532          51
 510_seed.data         556          99
 511_seed.data         433          51
 512_seed.data         641          87
 513_seed.data         606          60
 514_seed.data         529          26
 515_seed.data         474          18
 516_seed.data         515          64
 517_seed.data         502          31
 518_seed.data         428          19
 519_seed.data         448          40
 520_seed.data         579          36
 521_seed.data         460          20
 522_seed.data         555          41
 523_seed.data         510          39
 524_seed.data         446          27
 525_seed.data         576          60
 526_seed.data         591          20
 527_seed.data         588          50
 528_seed.data         505          12
 529_seed.data         487          56
 530_seed.data         570          32
 531_seed.data         536          38
 532_seed.data         467          35
 533_seed.data         528          40
 534_seed.data         454          20
 535_seed.data         395          23
 536_seed.data         549          39
 537_seed.data         476          28
 538_seed.data         522          29
 539_seed.data         625         119
 540_seed.data         517          23
 541_seed.data         489          34
 542_seed.data         438          27
 543_seed.data         465          29
 544_seed.data         550          30
 545_seed.data         450          28
 546_seed.data         525          29
 547_seed.data         503          27
 548_seed.data         463          35
 549_seed.data         516          33
 550_seed.data         472          38
 551_seed.data         498          42
 552_seed.data         472          24
 553_seed.data         532          35
 554_seed.data         458          28
 555_seed.data         434          27
 556_seed.data         524         128
 557_seed.data         607          44
 558_seed.data         555          42
 559_seed.data         599          95
 560_seed.data         468          15
 561_seed.data         530          22
 562_seed.data         463          28
 563_seed.data         594          65
 564_seed.data         478         100
 565_seed.data         495          25
 566_seed.data         433          16
 567_seed.data         451          31
 568_seed.data         542          30
 569_seed.data         509          32
 570_seed.data         527          54
 571_seed.data         521          97
 572_seed.data         415          15
 573_seed.data         558          66
 574_seed.data         577          38
 575_seed.data         540          57
 576_seed.data         444          24
 577_seed.data         429          11
 578_seed.data         584          45
 579_seed.data         491          33
 580_seed.data         423          21
 581_seed.data         484         117
 582_seed.data         464          18
 583_seed.data         512          29
 584_seed.data         474          48
 585_seed.data         492          35
 586_seed.data         535          90
 587_seed.data         491          29
 588_seed.data         683          99
 589_seed.data         397           9
 590_seed.data         508          28
 591_seed.data         536          32
 592_seed.data         550          51
 593_seed.data         535          34
 594_seed.data         485          32
 595_seed.data         526          23
 596_seed.data         565          48
 597_seed.data         591         100
 598_seed.data         515          50
 599_seed.data         429          30
 600_seed.data         389          27
 601_seed.data         547          26
 602_seed.data         468          15
 603_seed.data         495          27
 604_seed.data         640          94
 605_seed.data         467          18
 606_seed.data         469          36
 607_seed.data         498          31
 608_seed.data         436          20
 609_seed.data         640         167
 610_seed.data         479          25
 611_seed.data         394          28
 612_seed.data         502          95
 613_seed.data         527          67
 614_seed.data         555          14
 615_seed.data         572          62
 616_seed.data         392          17
 617_seed.data         503          56
 618_seed.data         472          36
 619_seed.data         594          37
 620_seed.data         515          24
 621_seed.data         480          43
 622_seed.data         490          30
 623_seed.data         525          40
 624_seed.data         506          31
 625_seed.data         527          37
 626_seed.data         512          54
 627_seed.data         534          43
 628_seed.data         495          45
 629_seed.data         527          33
 630_seed.data         437          35
 631_seed.data         543          54
 632_seed.data         545          25
 633_seed.data         540          35
 634_seed.data         656          72
 635_seed.data         513          19
 636_seed.data         496          27
 637_seed.data         514          56
 638_seed.data         567          88
 639_seed.data         413          18
 640_seed.data         515          38
 641_seed.data         450          29
 642_seed.data         516          20
 643_seed.data         529          14
 644_seed.data         524          39
 645_seed.data         494          42
 646_seed.data         588          58
 647_seed.data         499          74
