#file	clusteren	cluster-cluster
136_seed.data	-1210.84556629174	-487.084354379759
137_seed.data	-823.877065221475	-416.779771805392
138_seed.data	-857.791112420227	-271.600290701158
139_seed.data	-1002.65991897376	-378.928141319932
140_seed.data	-1348.06752122092	-645.366117021486
141_seed.data	-1036.88829834591	-361.943996253328
142_seed.data	-936.987870395155	-367.504039368091
143_seed.data	-868.693218148883	-343.428689923044
144_seed.data	-1063.43960116105	-602.849172192764
145_seed.data	-1238.56932874536	-482.376256738371
146_seed.data	-859.155775958295	-292.719336350119
147_seed.data	-927.62949917947	-417.180551742456
148_seed.data	-976.287007927122	-517.18988913055
149_seed.data	-937.122775178261	-351.140692676896
150_seed.data	-895.48854995484	-411.862633008778
151_seed.data	-1032.81135830181	-392.953805119979
152_seed.data	-942.137378727967	-434.888919705233
153_seed.data	-816.521589704543	-298.062378399357
154_seed.data	-962.150880038484	-531.10393495883
155_seed.data	-1242.38333835558	-573.188536416175
156_seed.data	-823.576076458315	-291.470689965025
157_seed.data	-1127.12694999794	-483.798365559861
158_seed.data	-854.052851455815	-411.889230066519
159_seed.data	-1406.79516995496	-574.394553264978
160_seed.data	-1035.92070409813	-556.598967713287
161_seed.data	-1045.1126671489	-420.132117771384
162_seed.data	-1109.78559618958	-459.299900042817
163_seed.data	-1042.22884893692	-404.724912836084
164_seed.data	-915.211668828001	-455.782767761215
165_seed.data	-880.79000719769	-352.000716015597
166_seed.data	-844.315090310787	-298.835782013613
167_seed.data	-869.409893462835	-348.147056734907
168_seed.data	-1030.64324207688	-457.904972963062
169_seed.data	-1098.73123276234	-595.131092665743
170_seed.data	-925.080009761515	-354.984122835996
171_seed.data	-867.205865769399	-496.668813643332
172_seed.data	-1447.23122260253	-553.842137153967
173_seed.data	-828.019455979526	-323.082907309563
174_seed.data	-1129.68460396032	-531.539986740711
175_seed.data	-1018.45387445406	-397.599847755872
176_seed.data	-961.303136727811	-384.554268460636
177_seed.data	-882.505119186126	-381.862537439213
178_seed.data	-1032.36028365084	-411.871729183617
179_seed.data	-979.337122822021	-501.806229522341
180_seed.data	-921.537836737092	-341.762959934888
181_seed.data	-957.547722827253	-485.17955562922
182_seed.data	-845.40818445728	-332.030020050894
183_seed.data	-864.714842562383	-330.430747197888
184_seed.data	-940.359160490067	-355.777393454642
185_seed.data	-1106.52446337966	-517.490100624024
186_seed.data	-1137.89066034684	-614.199812839582
187_seed.data	-1137.6165517845	-452.925083424189
188_seed.data	-961.019402559894	-399.731899991625
189_seed.data	-858.113727562504	-393.663909158127
190_seed.data	-981.888636918466	-368.331322848704
191_seed.data	-814.885274364055	-356.793471016815
192_seed.data	-853.415504934138	-395.528930542939
193_seed.data	-878.978644957138	-360.504879918369
194_seed.data	-1227.47122353111	-697.769968887856
195_seed.data	-987.357473152309	-392.855941841009
196_seed.data	-891.907180948049	-347.190069578064
197_seed.data	-1252.2070543139	-470.634827556471
198_seed.data	-982.49863431453	-359.236393966935
199_seed.data	-1189.40875476129	-477.031818625889
200_seed.data	-902.414016480127	-403.494244503254
201_seed.data	-880.686379764939	-300.359974798434
202_seed.data	-815.50448981177	-317.416940081533
203_seed.data	-847.388808529722	-387.524324838289
204_seed.data	-1084.37695661478	-435.765200110172
205_seed.data	-1168.88361862315	-515.041934651141
206_seed.data	-864.600201631887	-332.532925974286
207_seed.data	-986.554684719605	-444.627939714285
208_seed.data	-1404.6248948523	-681.576920682868
209_seed.data	-823.269619677944	-387.473417554145
210_seed.data	-972.897645997085	-517.169696821309
211_seed.data	-821.994986551695	-356.883233829066
212_seed.data	-828.427641620359	-331.553325444791
213_seed.data	-1147.18222608523	-501.375433577738
214_seed.data	-1043.68660454148	-541.85699982614
215_seed.data	-1275.18489498348	-462.452298699964
216_seed.data	-1176.4080578608	-587.780444666328
217_seed.data	-1072.98193586366	-425.580336586252
218_seed.data	-858.802839248381	-405.978579763762
219_seed.data	-1165.01502625493	-667.573225773694
220_seed.data	-905.099496669482	-363.423150696738
221_seed.data	-834.518256423338	-253.186612805005
222_seed.data	-1071.82168488824	-607.483252728878
223_seed.data	-1148.81207164188	-432.110406809754
224_seed.data	-1038.71400629908	-464.295677597541
225_seed.data	-937.80776332953	-366.232935885642
226_seed.data	-1057.94793204394	-659.608505523987
227_seed.data	-1381.90814992564	-678.614961481622
228_seed.data	-1184.30442855972	-586.904629162571
229_seed.data	-1458.20973936003	-545.301384925889
230_seed.data	-1285.85125507632	-593.454424423621
