#file	clusteren	cluster-cluster
575_seed.data	-1036.63124099469	-572.971528648305
576_seed.data	-1062.97578544345	-578.581676583709
577_seed.data	-1352.4365419737	-761.69246377074
578_seed.data	-1367.8348160946	-673.23964547185
579_seed.data	-842.617083316718	-500.614328131122
580_seed.data	-1279.75335375447	-627.123211170074
581_seed.data	-854.78739780834	-457.107713380203
582_seed.data	-1257.25850671132	-766.584103131578
583_seed.data	-1377.38873580961	-791.705170110178
584_seed.data	-1275.95766467306	-700.774816629898
585_seed.data	-1074.64930417814	-533.413675568265
586_seed.data	-1159.14664478889	-675.415143637819
587_seed.data	-900.39017395314	-526.734728975939
588_seed.data	-996.494582456194	-579.356050771895
589_seed.data	-1459.353729512	-897.646927980578
590_seed.data	-874.913385641517	-501.44444575556
591_seed.data	-1118.9067710562	-665.080313094502
592_seed.data	-891.661849291441	-433.539905888764
593_seed.data	-1207.60647338206	-543.906152956672
594_seed.data	-1390.03994678841	-933.266422310394
595_seed.data	-1146.49867078715	-547.091152579652
596_seed.data	-822.616818959457	-504.939938584458
597_seed.data	-1135.53613015707	-705.782943552515
598_seed.data	-873.123311821009	-331.239569512103
599_seed.data	-1245.95854107381	-794.97679564848
600_seed.data	-923.234735842657	-505.802711612528
601_seed.data	-842.58996122077	-370.006202457961
602_seed.data	-905.911684427449	-477.790484991516
603_seed.data	-1419.45767639603	-855.975111800987
604_seed.data	-1001.25081669185	-439.342672887951
605_seed.data	-1041.94499301881	-431.610979206578
606_seed.data	-1224.72272254019	-546.779370016865
607_seed.data	-1034.61213261663	-562.068357589963
608_seed.data	-1210.57857145052	-695.747312491171
609_seed.data	-991.571399972868	-547.792592450301
610_seed.data	-1414.83305569262	-805.754506399086
611_seed.data	-1438.41167789851	-828.946124421373
612_seed.data	-1011.9322679804	-569.229556102482
613_seed.data	-1372.83367107933	-875.630602405829
614_seed.data	-911.529904862008	-476.692070165339
615_seed.data	-1425.62871895883	-778.270039872094
616_seed.data	-1193.13450206145	-768.324790167784
617_seed.data	-1407.15730423027	-746.044445762613
618_seed.data	-1335.47314165819	-766.41752292478
619_seed.data	-1062.07704455958	-574.620176610254
620_seed.data	-1055.13220357239	-604.054858436526
621_seed.data	-1139.40245538954	-620.496653086029
622_seed.data	-854.096738180667	-449.251724740391
623_seed.data	-799.192283004337	-323.642788924681
624_seed.data	-1028.98517772202	-600.553916979078
625_seed.data	-872.831485021743	-374.248276924553
626_seed.data	-1191.42406965224	-639.885747799836
627_seed.data	-909.770908847217	-463.293999680003
628_seed.data	-1390.39568455949	-883.838413135582
629_seed.data	-908.504683852198	-558.509689718374
630_seed.data	-1190.20616068338	-538.334703835598
631_seed.data	-968.116025534306	-509.113627555049
632_seed.data	-1276.73723280671	-673.406310686324
633_seed.data	-1238.21174513492	-759.132722630843
634_seed.data	-1170.88435610453	-650.081682498857
635_seed.data	-1049.4829177128	-609.783673749035
636_seed.data	-1407.23231204994	-878.081282140392
637_seed.data	-990.677040136709	-469.410459926546
638_seed.data	-939.061502939688	-500.586068701104
639_seed.data	-1422.39490202842	-906.36485696523
640_seed.data	-1380.64209143853	-561.135009680559
641_seed.data	-831.935461552757	-374.088912918738
642_seed.data	-1110.85458072044	-676.582196121678
643_seed.data	-1423.94953182765	-804.837508302646
644_seed.data	-1403.377446485	-823.571113458954
645_seed.data	-891.518418766342	-463.079422818884
646_seed.data	-1435.81407533052	-857.556565576284
647_seed.data	-1304.42775856589	-809.428519573666
648_seed.data	-841.323007759629	-381.678241114117
649_seed.data	-1254.87012694729	-679.537281704354
650_seed.data	-1048.86617560722	-585.459427670883
651_seed.data	-946.358845027522	-444.588389283932
652_seed.data	-1025.05327851894	-601.256035288262
653_seed.data	-954.633260550863	-528.858968656481
654_seed.data	-1455.18892809745	-725.900653664048
655_seed.data	-970.514394796635	-566.40011442728
656_seed.data	-1238.64109711745	-761.52219037169
657_seed.data	-891.053885224536	-362.740077891381
658_seed.data	-1490.85218929145	-886.003342547263
659_seed.data	-848.597698108049	-437.292874667213
660_seed.data	-1160.5162249218	-631.4082664643
661_seed.data	-993.830863197819	-636.182257799503
662_seed.data	-1504.78041345538	-920.587994295413
663_seed.data	-855.552574473202	-505.785925155476
664_seed.data	-1456.5367005703	-966.385089856232
665_seed.data	-901.02267167142	-447.646354295245
666_seed.data	-1271.95215236111	-683.002279667267
667_seed.data	-1300.38957290945	-732.944326878333
668_seed.data	-1041.75293190139	-658.19596600315
669_seed.data	-1248.48587379787	-710.279056791846
670_seed.data	-1483.8208072381	-948.599316319389
671_seed.data	-1476.39101781639	-865.490906959777
672_seed.data	-1329.92859592578	-753.450103781798
673_seed.data	-942.219763792272	-491.579243259823
674_seed.data	-1431.2725335521	-932.596545365537
675_seed.data	-1273.70361317216	-585.129885095441
676_seed.data	-1038.48362952143	-498.858365086312
677_seed.data	-1413.6792944177	-957.691762956693
678_seed.data	-1041.8168106573	-571.175840448119
679_seed.data	-1319.69422406284	-683.702491946521
680_seed.data	-865.180596310629	-486.718042734076
681_seed.data	-1280.67389103431	-602.257745923527
682_seed.data	-1200.51187842921	-732.398345665521
683_seed.data	-1497.02600070376	-804.315025399168
684_seed.data	-998.236584340174	-495.878574976269
685_seed.data	-1304.54652555125	-745.025597913878
686_seed.data	-1037.77078118766	-534.705760944195
687_seed.data	-1077.16642714259	-592.737647743694
688_seed.data	-1417.22741060088	-851.139011207438
689_seed.data	-922.825154509092	-389.459043645059
690_seed.data	-1255.34840521593	-625.123127740922
691_seed.data	-950.062806210309	-551.418330675022
692_seed.data	-1057.82974869222	-503.05712828787
693_seed.data	-1324.69247969918	-874.68734494106
694_seed.data	-835.349077504802	-487.183508475402
695_seed.data	-1265.76144570824	-626.136736154672
696_seed.data	-1126.57115134813	-627.040660959375
697_seed.data	-906.410496391086	-539.228690592518
698_seed.data	-956.559092611282	-483.354036876241
699_seed.data	-1294.13485601074	-638.963436528112
700_seed.data	-1396.27025173337	-715.10661039314
701_seed.data	-901.957518810323	-498.114092821401
702_seed.data	-1129.38494015831	-685.770798678496
703_seed.data	-1036.61675402025	-651.349067001639
704_seed.data	-813.502201738706	-445.355693083672
705_seed.data	-1403.09776314337	-854.225557816215
706_seed.data	-1089.71956392557	-673.434360799537
707_seed.data	-868.575418413371	-489.666275319325
708_seed.data	-1059.57907981743	-588.667725049253
709_seed.data	-1209.22258854845	-665.971066437607
710_seed.data	-1068.80238093959	-598.983164459077
711_seed.data	-1454.11030788557	-931.497535106238
712_seed.data	-990.930677381923	-556.303734513499
713_seed.data	-1210.26995710086	-742.482846683642
714_seed.data	-944.015969640763	-509.26160052962
715_seed.data	-1407.87171533819	-928.017737175956
716_seed.data	-1442.63611160343	-935.830536318164
717_seed.data	-881.455162688715	-434.729856020302
718_seed.data	-1047.85764186014	-558.437122663061
719_seed.data	-873.244030408674	-503.919449585191
720_seed.data	-988.941013502445	-541.996402415314
721_seed.data	-1172.11577285516	-652.998919263119
722_seed.data	-1002.38052466428	-548.45708595476
723_seed.data	-834.676037738077	-411.750122265764
724_seed.data	-922.484367539309	-341.826164009945
725_seed.data	-1204.17391387966	-649.115757725407
726_seed.data	-897.763404826396	-483.173412469456
727_seed.data	-1469.79289196909	-974.074827954675
728_seed.data	-977.843838070788	-526.905554740023
729_seed.data	-1034.89970362737	-535.945090994027
730_seed.data	-1032.81846283549	-568.065110575438
731_seed.data	-850.075510423092	-406.504481597747
732_seed.data	-848.799664944828	-428.27331568648
733_seed.data	-1176.22400324492	-681.305481398716
734_seed.data	-1290.97998773481	-692.743822186538
735_seed.data	-938.751581562389	-553.812821693884
736_seed.data	-888.482509647528	-415.326307032983
737_seed.data	-853.334164094931	-453.95931518036
738_seed.data	-1186.77979784391	-679.293613656065
739_seed.data	-1192.11958827039	-687.235633928221
740_seed.data	-1410.26491102863	-920.463493867945
741_seed.data	-858.845762926467	-487.425343354896
742_seed.data	-1124.51185029834	-658.007436206218
743_seed.data	-1340.04384961005	-776.028279279971
744_seed.data	-1103.85100705607	-602.898922122099
745_seed.data	-995.403289073101	-615.13289297465
746_seed.data	-1129.65563094794	-633.154250021712
747_seed.data	-1111.7412491481	-629.322713666314
748_seed.data	-1390.7829196587	-844.666491352747
749_seed.data	-834.760348922568	-422.551767980698
750_seed.data	-944.825229025365	-483.82786104502
751_seed.data	-1188.57329913267	-714.466986597607
752_seed.data	-1045.34814219819	-593.168935841892
753_seed.data	-938.361483306102	-503.284552000165
754_seed.data	-1308.70920857505	-744.912216991005
755_seed.data	-1314.59350904638	-716.617624203601
756_seed.data	-1250.65468125147	-693.364362017657
757_seed.data	-1487.14378316194	-1042.0463900754
758_seed.data	-1448.06938584503	-908.311710053044
759_seed.data	-1036.84697112049	-389.266401796318
760_seed.data	-1411.49433677918	-831.660701138432
761_seed.data	-1331.38391531654	-740.45232783575
762_seed.data	-1102.8563694504	-535.127569867644
763_seed.data	-1493.65987826788	-943.564518956554
764_seed.data	-959.505654468889	-514.215708858545
765_seed.data	-1000.67586628281	-460.96964017806
766_seed.data	-1071.36182830447	-538.002223608971
767_seed.data	-1427.92900292264	-935.106718091727
768_seed.data	-1033.33672281981	-613.703101816006
769_seed.data	-866.069560059464	-465.435193417298
770_seed.data	-1383.69378648111	-814.708164427671
771_seed.data	-1160.79304395287	-729.590425914739
772_seed.data	-951.44563652351	-393.204532757818
773_seed.data	-1186.28977589434	-597.383663082166
774_seed.data	-1223.15671353888	-637.702693772328
775_seed.data	-1323.34151927313	-786.269451728894
776_seed.data	-1164.60025672583	-608.143609316506
777_seed.data	-1058.91371571949	-638.640854954919
778_seed.data	-1494.19820499848	-889.308342358117
779_seed.data	-910.017912427032	-412.737295652701
780_seed.data	-1441.58394613243	-892.282059247162
781_seed.data	-1141.82448851983	-702.408949644463
782_seed.data	-852.749346824242	-460.565953506878
783_seed.data	-1394.14770299551	-869.893850847602
784_seed.data	-986.748983077153	-497.40504760497
785_seed.data	-1268.8464664904	-777.02320612658
786_seed.data	-1391.24543580351	-869.21368868248
787_seed.data	-1041.36433535398	-505.324501838337
